ASSEMBLY_STR,PDB_COMPLEX_ID,ASSEMBLY_NAME,ASSEMBLY_TYPE,ASSEMBLIES,NUM_ASSEMBLIES,NUM_COMPONENTS,MEDIAN_WT,MAX_WT
A0A059VBQ9_3,PDB-CPX-100198,Hemagglutinin HA1 chain,homomeric,"5ykc_1,5yt8_1,5yt9_1,6iig_1,6ijt_1,6in5_1,6kcj_1",7,3,199.97,202.09
"A0A059VJE6_1,P0CG47_1",PDB-CPX-100199,Peptidase C30 and Ubiquitin,heteromeric,"7mc9_1,7mc9_2,7mc9_3,7mc9_4,7mc9_5,7mc9_6,7mc9_7,7mc9_8",8,2,34.51,34.6
"A0A060BIS8_1,Q8AZ57_1",PDB-CPX-100210,Pre-glycoprotein polyprotein GP complex and Transferrin receptor protein 1,heteromeric,"6s9j_1,6s9j_2,6s9j_3,6s9j_4",4,2,39.24,40.6
A0A060GYS1_2,PDB-CPX-100226,Parathion hydrolase,homomeric,"4pcp_1,5wcr_1,5wiz_1,5wms_1,5wms_2,6b2f_1",6,2,72.62,73.28
A0A060GYS7_2,PDB-CPX-100227,Parathion hydrolase,homomeric,"4xaz_1,6bh7_1,6bhk_1,6bhk_2,8uqw_1,8uqx_1,8uqy_1,8uqz_1",8,2,72.84,73.39
A0A060GZX0_2,PDB-CPX-100228,Parathion hydrolase,homomeric,"4xaf_1,5wcp_1,5wcw_1,5wj0_1",4,2,72.86,73.11
A0A060P168_3,PDB-CPX-100238,3-5 exonuclease PhoExo I,homomeric,"4yor_1,4yor_2,4yot_1,4you_1,4yov_1,4yow_1,4yox_1,4yoy_1",8,3,80.91,85.19
A0A060TAG5_3,PDB-CPX-100241,SnoaL-like domain-containing protein,homomeric,"6w54_1,7kd9_1,7kd9_2,7kd9_3",4,3,81.82,82.54
A0A062UZ78_2,PDB-CPX-100258,2-(3-amino-3-carboxypropyl)histidine synthase,homomeric,"6bxm_1,6bxn_1,6bxo_1",3,2,74.45,74.46
A0A066Q637_2,PDB-CPX-100265,4-hydroxy-tetrahydrodipicolinate synthase,homomeric,"6nva_1,6nva_2,6nva_3,6nva_4",4,2,63.52,63.55
"A0A067E666_1,Q9CAJ0_1",PDB-CPX-100277,Abscisic acid receptor PYL1 and Protein phosphatase 2C 16,heteromeric,"5mn0_1,6zuc_1,7avw_1,8ay3_1,8ay6_1,8ay7_1,8ay8_1,8ay9_1,8aya_1,9h0h_1,9h0i_1,9h0j_1",12,2,61.08,61.47
"A0A067SLB9_1,H2E7Q8_1",PDB-CPX-100283,Dual function macrocyclase-peptidase POPB and Alpha-amanitin,heteromeric,"5n4b_1,5n4b_2,5n4c_1,5n4c_2,5n4c_3,5n4c_4,5n4d_1,5n4d_2,5n4e_1,5n4e_2",10,2,85.75,89.62
A0A067XG72_2,PDB-CPX-100291,GST N-terminal domain-containing protein,homomeric,"4lmv_1,4lmv_2,4lmv_3",3,2,57.66,57.66
A0A067XG75_2,PDB-CPX-100294,2Fe-2S ferredoxin-type domain-containing protein,homomeric,"4n58_3,4n58_4,4n59_3",3,2,67.98,68.75
"A0A067XP79_2,A0A067XP89_2",PDB-CPX-100297,Phycoerythrin alpha chain domain-containing protein and Phycoerythrin beta subunit,heteromeric,"7s96_1,7s97_1,7t89_1",3,4,54.08,54.55
A0A067Y7N7_4,PDB-CPX-100301,Neuraminidase,homomeric,"4mwl_1,4mww_1,4mwx_1,4mwy_1,4mx0_1",5,4,183.66,183.73
"A0A068F6N5_1,A0A068F6N5_1",PDB-CPX-100316,Penicillin G acylase,heteromeric,"4pem_1,4pem_2,4pem_3,4pem_4",4,2,94.99,95.03
"A0A068F6N5_1,P07941_1",PDB-CPX-100317,Penicillin G acylase subunit alpha and Penicillin G acylase,heteromeric,"4pel_1,4pel_2,4pel_3,4pel_4",4,2,87.94,87.94
A0A068Q5Q5_3,PDB-CPX-100322,"Depolymerase, capsule K1-specific",homomeric,"7w1c_1,7w1c_2,7w1d_1,7w1d_2,7w1d_3,7w1d_4,7w1e_1,7w1e_2",8,3,217.99,220.36
"A0A069A654_1,A0A069A654_1",PDB-CPX-100328,HTH marR-type domain-containing protein,heteromeric,"8xt8_1,8xta_1,8xu0_1",3,2,35.77,36.3
A0A069A654_2,PDB-CPX-100329,HTH marR-type domain-containing protein,homomeric,"8xt8_2,8xta_2,8xu0_2",3,2,33.88,34.41
A0A069Q0R8_3,PDB-CPX-100341,RidA family protein,homomeric,"9bjv_1,9bjw_1,9bk4_1,9bk4_2,9bk8_1,9bkh_1",6,3,37.97,38.32
A0A069Q726_3,PDB-CPX-100345,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,homomeric,"7okb_1,7okb_10,7okb_2,7okb_3,7okb_4,7okb_5,7okb_6,7okb_7,7okb_8,7okb_9",10,3,86.85,87.33
A0A072TMB0_6,PDB-CPX-100356,inorganic diphosphatase,homomeric,"6mt1_1,6mt2_1,6mt2_2",3,6,148.04,148.04
A0A072U2X9_2,PDB-CPX-100357,Phosphoribosyl-AMP cyclohydrolase domain-containing protein,homomeric,"7bgm_1,7bgn_1,7bgn_2,7bgn_3",4,2,55.09,55.29
A0A072U7F9_2,PDB-CPX-100358,histidinol-phosphate transaminase,homomeric,"8bj1_1,8bj2_1,8bj3_1,8bj4_1,8bj4_2",5,2,82.95,83.3
A0A072VQG6_24,PDB-CPX-100360,Imidazoleglycerol-phosphate dehydratase,homomeric,"7oj5_1,8qav_1,8qaw_1,8qax_1,8qay_1",5,24,552.25,555.82
A0A072ZCW8_12,PDB-CPX-100361,Flavin prenyltransferase UbiX,homomeric,"6qlh_1,6qli_1,6qlj_1,6qlk_1,6qll_1,6qlv_1",6,12,305.46,306.59
A0A072ZNL3_6,PDB-CPX-100365,ABM domain-containing protein,homomeric,"8ecx_1,8eif_1,8eif_2",3,6,74.24,75.8
A0A072ZPM2_2,PDB-CPX-100366,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,homomeric,"5gm8_1,5gm8_2,5gmb_1,5gmc_1,5gmc_2",5,2,37.84,38.38
A0A074Z863_2,PDB-CPX-100371,Triosephosphate isomerase,homomeric,"5zfx_1,5zfx_2,5zg4_1,5zg4_2,5zg5_1,5zga_1,5zga_2",7,2,59.51,60.1
A0A075B5G8_4,PDB-CPX-100377,L-lactate dehydrogenase,homomeric,"4plc_1,4plf_1,4plg_1",3,4,149.73,150.11
A0A075B5H0_4,PDB-CPX-100378,L-lactate dehydrogenase,homomeric,"4plt_1,4plv_1,4ply_1,4ply_2",4,4,148.88,148.93
"A0A075B5K0_2,A0A075B5S3_2,Q8WNN6_2",PDB-CPX-100383,nan,heteromeric,"8zd5_1,8zd5_2,8zd6_1,8zd6_2",4,6,106.66,106.79
"A0A075DN54_2,A0A075DN54_2",PDB-CPX-100401,Tyrosinase copper-binding domain-containing protein,heteromeric,"4z0y_1,4z0y_2,4z0y_3,4z0z_1,4z0z_2,4z0z_3,4z10_1,4z10_2,4z10_3",9,4,83.91,84.42
A0A075LQ94_2,PDB-CPX-100409,ATP dependent DNA ligase,homomeric,"8uce_1,8ucf_1,8ucg_1,8uch_1,8uci_1",5,2,95.42,96.19
"A0A075QAW4_60,A0A075QAW4_60,A0A075QAW4_60",PDB-CPX-100412,Capsid protein VP4,heteromeric,"8x96_1,8x97_1,8ytb_1",3,180,5215.51,5215.51
A0A075TRK9_2,PDB-CPX-100415,Patulin synthase,homomeric,"8bxl_1,8bxl_2,8bxl_3",3,2,141.87,142.02
A0A076NBW8_2,PDB-CPX-100439,HpiU5,homomeric,"5wpp_1,5wps_1,5wpu_1,5yvl_1,5yvl_2,5z54_1,5z54_2,6al6_1,6al7_1,6al7_2,6al8_1,6al8_2",12,2,49.35,50.32
A0A076PYH9_2,PDB-CPX-100440,"4,5-dihydroxyphthalate dehydrogenase",homomeric,"7wzd_1,7x1x_1,7x2y_1",3,2,87.73,89.02
A0A077EA44_2,PDB-CPX-100451,Hydroxymethylglutaryl-CoA reductase,homomeric,"7n7s_1,7n7s_2,7n7s_3",3,2,103.58,103.71
A0A077EGR8_4,PDB-CPX-100462,alcohol dehydrogenase,homomeric,"6n7l_1,6n7l_2,6n7l_3",3,4,156.37,156.74
A0A077EJG6_6,PDB-CPX-100465,"1,4-dihydroxy-2-naphthoyl-CoA synthase",homomeric,"6ojm_1,6ojm_2,6ojm_3",3,6,192.61,192.61
A0A077ENB9_2,PDB-CPX-100471,"dTDP-4-dehydrorhamnose 3,5-epimerase",homomeric,"6c46_1,6c46_2,6c46_3",3,2,43.85,43.85
A0A077EWA5_2,PDB-CPX-100474,Norbelladine 4'-O-methyltransferase,homomeric,"8uke_1,8uke_2,8uke_3,8xe3_1,8xe4_1,8xe4_2,8xe5_1,8xe5_2,8z8o_1,8z8o_2,8z8p_1,8z8p_2,8z8r_1,8z8r_2,8z8s_1,8z8t_1,8zfw_1",17,2,55.8,56.1
A0A077JBW9_2,PDB-CPX-100477,Haloalkylphosphorus hydrolase,homomeric,"5hrm_1,5hrm_2,5ioj_1",3,2,109.24,127.25
A0A077JI83_2,PDB-CPX-100480,alpha-glucosidase,homomeric,"6lga_1,6lgb_1,6lgc_1,6lgd_1,6lge_1,6lgf_1,6lgg_1,6lgh_1,6lgi_1",9,2,138.37,138.98
A0A077K7L1_6,PDB-CPX-100481,Methyltransferase type 11 domain-containing protein,homomeric,"5gm1_1,5gm1_2,5gm1_3,5gm2_1,5gm2_2,5gm2_3",6,6,200.86,201.98
"A0A077L6X8_1,A0A077L7R5_1,A0A077L885_1,A0A077LAI5_1",PDB-CPX-100488,nan,heteromeric,"5xf9_1,5xf9_2,5xfa_1,5xfa_2",4,4,165.45,165.68
A0A078SUX9_2,PDB-CPX-100512,"Glycosyl hydrolases family 2, sugar binding domain protein",homomeric,"5uj6_1,6d50_1,6d8g_1",3,2,202.74,203.42
A0A080WMA9_4,PDB-CPX-100513,Aspartate-semialdehyde dehydrogenase,homomeric,"4zhs_1,4zhs_2,4zic_1,4zic_2",4,4,164.98,165.27
A0A084EX36_24,PDB-CPX-100521,Ferritin-like diiron domain-containing protein,homomeric,"8w6m_1,8w6q_1,8w6s_1,8w6u_1,8w6y_1,8w73_1,8w74_1,8w79_1,8w7b_1,8w7o_1,8w7q_1,8w7t_1,8w7u_1,8w7v_1,8wpt_1,8wpv_1,8wqu_1,8wqv_1,8wqx_1,8wqy_1,8wr0_1",21,24,524.41,534.64
A0A084QTE3_6,PDB-CPX-100524,Cupin 2 conserved barrel domain-containing protein,homomeric,"8x0u_1,8x0u_2,8x0v_1,8x0v_2",4,6,138.26,139.06
A0A085BE66_2,PDB-CPX-100525,CD-NTase-associated protein 12,homomeric,"8hwj_1,8hwj_2,8hy8_1",3,2,38.32,38.32
"A0A086HZU3_2,V5V921_6,V5V9F4_2,V5V9K5_2",PDB-CPX-100538,nan,heteromeric,"7d06_1,7d08_1,7d09_1,7d0a_1",4,12,284.48,292.41
A0A086IRG1_2,PDB-CPX-100539,VOC domain-containing protein,homomeric,"8r37_1,9rpx_1,9rpy_1,9rpz_1,9rq0_1,9rq1_1,9rq2_1,9rq3_1,9rq4_1,9rq5_1,9rq6_1,9rq7_1,9rq8_1,9rq9_1,9rqa_1,9rqb_1,9rqc_1,9rqd_1,9rqe_1,9rqf_1,9rqg_1,9rqh_1,9s5b_1",23,2,33.11,33.73
A0A086RSH0_4,PDB-CPX-100540,Enoyl-[acyl-carrier-protein] reductase [NADH],homomeric,"8jfj_1,8jfj_2,8jfm_1,8jfm_2",4,4,120.9,121.71
A0A087I947_2,PDB-CPX-100546,HTH lysR-type domain-containing protein,homomeric,"5b70_1,5b70_2,5b7d_1,5b7d_2,5b7h_1,5b7h_2,5x0q_1,5x0q_2,5x0v_1,5x0v_2",10,2,48.45,48.79
A0A087IWB4_2,PDB-CPX-100547,HTH lysR-type domain-containing protein,homomeric,"5fhk_1,5fhk_2,5fhk_3,5x0n_1,5x0n_2,5x0n_3,5x0o_1,5x0o_2,5x0o_3",9,2,46.81,46.84
A0A087VZV0_2,PDB-CPX-100550,Cystatin domain-containing protein,homomeric,"9uoz_3,9uoz_4,9uoz_6,9uoz_7",4,2,24.03,24.03
A0A087WNH6_4,PDB-CPX-100642,Adenosylhomocysteinase,homomeric,"4lvc_1,5m5k_1,5m66_1,5m67_1,6exi_1",5,4,215.22,216.09
"A0A087X2I1_1,O00231_1,O00232_1,O00487_1,O14818_2,O43242_1,P0CG47_1,P17980_1,P20618_2,P25786_2,P25787_2,P25788_2,P25789_2,P28066_2,P28070_2,P28072_2,P28074_2,P35998_1,P43686_1,P48556_1,P49720_2,P49721_2,P51665_1,P54578_1,P55036_1,P60896_1,P60900_2,P62191_1,P62195_1,Q13200_1,Q15008_1,Q99436_2,Q99460_1,Q9UNM6_1",PDB-CPX-100657,20S proteasome complex,heteromeric,"7w38_1,7w39_1,7w3i_1,7w3j_1,7w3k_1,7w3m_1",6,48,1732.87,1733.9
"A0A091R6U3_4,P19491_4",PDB-CPX-100689,Voltage-dependent calcium channel gamma-2 subunit and Glutamate receptor 2,heteromeric,"9mrk_1,9mrl_1,9mrm_1,9mrn_1",4,8,260.82,260.82
A0A091SV96_2,PDB-CPX-100690,RecQ-like DNA helicase BLM,homomeric,"5lus_1,5lus_2,5lus_3,5lus_4,5lus_5",5,2,15.32,15.32
A0A094YZ24_2,PDB-CPX-100695,Tetraprenyl-beta-curcumene synthase,homomeric,"5yo8_1,6loo_1,6lop_1",3,2,84.38,85.15
A0A096LNF0_2,PDB-CPX-100699,Enoyl reductase (ER) domain-containing protein,homomeric,"4mkr_1,4mkr_2,4nh4_1,4we3_1,4we3_2,4wgg_1",6,2,80.99,81.5
A0A096P8D3_2,PDB-CPX-100701,"Isocitrate dehydrogenase (NAD(+)), mitochondrial",homomeric,"6ixl_1,6ixl_2,6ixn_1,6ixn_2,6ixt_1,6ixt_2,7e2w_1,7e2w_2",8,2,94.58,96.06
"A0A097BW12_60,A0A097BW12_60,A0A097BW12_60",PDB-CPX-100712,viral protein 4,heteromeric,"6crs_1,6cru_1,6cs4_1,6cs5_1,6cs6_1,6csa_1,6csh_1,7ecy_1",8,180,5256.02,8050.44
"A0A097BW12_60,A0A097BW12_60,A0A097BW12_60,A0A097BW12_60",PDB-CPX-100713,viral protein 4,heteromeric,"6crp_1,6crr_1,6cs3_1,6csg_1,6mzi_1,7t9p_1,7taf_1,7tag_1,7tah_1,7taj_1",10,240,5676.11,5700.56
"A0A097BW12_60,A0A097BW12_60,A0A097BW12_60,J9Z449_60",PDB-CPX-100714,viral protein 4,heteromeric,"6wds_1,6wdt_1,7ebr_1,7ebz_1,7ec5_1",5,240,8490.65,8493.36
"A0A097BW12_60,A0A097BW12_60,A0A0K1NYJ9_60,Q68T42_60",PDB-CPX-100715,nan,heteromeric,"9b18_1,9b19_1,9b1a_1,9b1b_1",4,240,5808.47,5810.72
"A0A097F8Q2_60,A0A097F8Q2_60,A0A097F8Q2_60",PDB-CPX-100724,Virion protein 2,heteromeric,"6aj2_1,6aj3_1,6aj7_1,6aj9_1",4,180,5983.51,8292.57
A0A097PIM0_60,PDB-CPX-100745,VP1,homomeric,"9cuz_1,9cv0_1,9cv9_1,9cws_1",4,60,4832.59,4851.15
"A0A097PUG4_1,Q8NBP7_1",PDB-CPX-100746,IG-light kappa chain and Proprotein convertase subtilisin/kexin type 9,heteromeric,"6e4y_1,6e4z_1,6mv5_1",3,2,51.33,51.4
A0A097ZPD5_2,PDB-CPX-100748,Dioxygenase andA,homomeric,"5zm2_1,5zm2_2,5zm3_1,5zm3_2,5zm4_1,5zm4_2,7wpy_1,7wpy_2",8,2,68.36,68.97
A0A0A0BZU2_2,PDB-CPX-100753,Peroxidase,homomeric,"6qzo_1,6qzo_2,6qzo_3,6qzo_4",4,2,84.18,84.33
A0A0A0RCB5_2,PDB-CPX-100769,Sesquisabinene B synthase 2,homomeric,"6a2a_1,6a2c_1,6a2d_1",3,2,131.98,132.07
A0A0A0UVH9_2,PDB-CPX-100773,Amidohydrolase-related domain-containing protein,homomeric,"6omp_1,6omq_1,6omr_1",3,2,80.03,80.45
A0A0A0V031_2,PDB-CPX-100776,Long-chain-fatty-acid--CoA ligase,homomeric,"5e7q_1,5upq_1,5ups_1,5upt_1",4,2,117.28,118.01
A0A0A1E3R5_3,PDB-CPX-100787,E301R,homomeric,"7ype_1,7ypf_1,7ypf_2",3,3,107.51,107.79
A0A0A1EQY0_2,PDB-CPX-100788,Formate dehydrogenase,homomeric,"5dn9_1,5dna_1,5dna_2,6d4b_1,6d4c_1,8hty_1,8hty_2,8iq7_1,8iq7_2,8ivj_1,8ivj_2",11,2,81.05,82.25
"A0A0A1I7H6_1,P01903_1,P08670_1",PDB-CPX-100793,nan,heteromeric,"6atf_1,6atf_2,6ati_1,6ati_2",4,3,47.12,47.68
A0A0A2J6G6_2,PDB-CPX-100796,Aminotransferase class V domain-containing protein,homomeric,"8dl5_1,9aza_1,9azb_1",3,2,106.41,111.29
A0A0A5P8W7_4,PDB-CPX-100802,L-methionine gamma-lyase,homomeric,"5d5s_1,5e4z_1,5k30_1,5m3z_1,6egr_1,6s0c_1",6,4,174.18,176.6
A0A0A6YVN3_2,PDB-CPX-100804,ATP-grasp domain-containing protein,homomeric,"3wvq_1,3wvq_2,3wvr_1,3wvr_2",4,2,98.3,98.83
A0A0A7EMW6_2,PDB-CPX-100816,Galectin,homomeric,"6n3r_1,6n3r_2,6n3r_3,6n3r_4,6n44_1,6n44_2,6n44_3,6n44_4",8,2,31.38,31.56
"A0A0A7HR51_3,A0A0A7HR51_3",PDB-CPX-100826,Hemagglutinin,heteromeric,"6tjw_1,6tjy_1,6tjy_2,6tva_1,6tvb_1,6tvc_1,6tvd_1,6tvd_2,6tvf_1,6tvf_2,6tvr_1,6tvr_2,6tvs_1,6tvt_1,6twh_1,6twh_2,6twi_1,6tws_1,6twv_1,6twv_2,6txo_1,6ty1_1,6ty1_2",23,6,169.82,171.99
A0A0A7I0A5_2,PDB-CPX-100827,Methanol dehydrogenase,homomeric,"6jko_1,6jko_2,6jkp_1,6jkp_2",4,2,82.52,83.19
A0A0A7XPH7_6,PDB-CPX-100847,Inorganic pyrophosphatase,homomeric,"6k21_1,6k27_1,6k27_2,6k27_3,6k27_4,6ki7_1,6ki7_2,6ki7_3,6ki7_4,6ki8_1",10,6,117.96,118.78
A0A0A8IK66_2,PDB-CPX-100851,Jacalin-type lectin domain-containing protein,homomeric,"3woc_7,3woc_8,3woc_9",3,2,33.38,33.91
A0A0B0EHL2_6,PDB-CPX-100885,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,homomeric,"8ayb_1,8ayc_1,8ayi_1",3,6,93.43,104.2
"A0A0B0QJN8_2,A0A0B0QJR1_2",PDB-CPX-100888,Protein adenylyltransferase MntA and tRNA nuclease HepT,heteromeric,"7ae2_1,7ae9_1,7ae9_2",3,4,71.74,72.05
A0A0B0QJR1_2,PDB-CPX-100889,tRNA nuclease HepT,homomeric,"7ae6_1,7ae8_1,7ae8_2",3,2,36.66,38.31
"A0A0B4J272_1,A0A5B9_1,P01903_1,P01911_1,P04585_1",PDB-CPX-100923,nan,heteromeric,"6cql_1,6cqq_1,6cqq_2,6cqr_1,6cqr_2",5,5,96.2,96.52
"A0A0B4J2H0_1,O43927_1,P01704_1",PDB-CPX-100942,nan,heteromeric,"5cba_1,5cba_2,5cbe_1,5cbe_2",4,3,38.04,38.09
"A0A0B4JDC9_1,P91645_1",PDB-CPX-100944,"Voltage-dependent calcium channel type A subunit alpha-1 and RIM-binding protein, isoform F",heteromeric,"4z89_1,4z89_10,4z89_2,4z89_3,4z89_4,4z89_5,4z89_6,4z89_7,4z89_8,4z89_9,4z8a_1",11,2,9.96,10.05
"A0A0B4JDC9_1,Q9W0K0_1",PDB-CPX-100945,"JNK-interacting protein 1 and RIM-binding protein, isoform F",heteromeric,"4z88_1,4z88_10,4z88_11,4z88_12,4z88_2,4z88_3,4z88_4,4z88_5,4z88_6,4z88_7,4z88_8,4z88_9",12,2,10.34,10.36
A0A0B4KIF6_2,PDB-CPX-100952,HTH tetR-type domain-containing protein,homomeric,"5fgl_1,5fgl_2,5fgl_3,5fhp_1,5fhp_2,5fhp_3",6,2,48.96,49.41
A0A0B4VFQ3_2,PDB-CPX-100981,MOBP,homomeric,"8bbt_1,8bc5_1,8bck_1,8bcl_1",4,2,54.88,55.3
A0A0B5KNF6_2,PDB-CPX-101003,NADP-dependent oxidoreductase domain-containing protein,homomeric,"4q3m_1,4q3m_2,4q3m_3",3,2,63.9,63.92
A0A0B5L781_2,PDB-CPX-101007,O-methyltransferase mpaG',homomeric,"8xte_1,8xte_2,8xte_3,8xtf_1,8xtg_1,8xtg_2,8xtg_3",7,2,88.94,88.96
A0A0B5LB55_2,PDB-CPX-101008,Type I acyl-CoA thioesterase mpaH',homomeric,"7dbi_1,7dbi_2,7dbl_1,7dbl_2",4,2,99.38,99.68
A0A0B5RUB0_3,PDB-CPX-101010,Trimethylamine transporter,homomeric,"8zw8_1,8zxk_1,8zxp_1",3,3,180.04,180.04
A0A0B6VPP7_2,PDB-CPX-101018,Beta-lactamase,homomeric,"5gs8_1,5gwa_1,5x5g_1",3,2,64.52,65.14
A0A0B8MZ29_2,PDB-CPX-101033,Reducing-end xylose-releasing exoxylanase Xyn30A,homomeric,"8idp_1,8idp_2,8idq_1,8idq_2",4,2,110.27,110.56
