complex_id,num_assemblies,median_mw_kda,A_BIN,MW_BIN
PDB-CPX-100690,5,15.32,A2_5-8,MW1_<60
PDB-CPX-100695,3,84.38,A1_3-4,MW2_60-120
PDB-CPX-100699,6,80.99,A2_5-8,MW2_60-120
PDB-CPX-100701,8,94.58,A2_5-8,MW2_60-120
PDB-CPX-100712,8,5256.02,A2_5-8,MW4_>300
PDB-CPX-100713,10,5676.11,A3_9-20,MW4_>300
PDB-CPX-100714,5,8490.65,A2_5-8,MW4_>300
PDB-CPX-100715,4,5808.47,A1_3-4,MW4_>300
PDB-CPX-100724,4,5983.51,A1_3-4,MW4_>300
PDB-CPX-100745,4,4832.59,A1_3-4,MW4_>300
PDB-CPX-100746,3,51.33,A1_3-4,MW1_<60
PDB-CPX-100748,8,68.36,A2_5-8,MW2_60-120
PDB-CPX-100753,4,84.18,A1_3-4,MW2_60-120
PDB-CPX-100769,3,131.98,A1_3-4,MW3_120-300
PDB-CPX-100773,3,80.03,A1_3-4,MW2_60-120
PDB-CPX-100776,4,117.28,A1_3-4,MW2_60-120
PDB-CPX-100787,3,107.51,A1_3-4,MW2_60-120
PDB-CPX-100788,11,81.05,A3_9-20,MW2_60-120
PDB-CPX-100793,4,47.12,A1_3-4,MW1_<60
PDB-CPX-100796,3,106.41,A1_3-4,MW2_60-120
PDB-CPX-100802,6,174.18,A2_5-8,MW3_120-300
PDB-CPX-100804,4,98.3,A1_3-4,MW2_60-120
PDB-CPX-100816,8,31.38,A2_5-8,MW1_<60
PDB-CPX-100826,23,169.82,A4_21-100,MW3_120-300
PDB-CPX-100827,4,82.52,A1_3-4,MW2_60-120
PDB-CPX-100847,10,117.96,A3_9-20,MW2_60-120
PDB-CPX-100851,3,33.38,A1_3-4,MW1_<60
PDB-CPX-100885,3,93.43,A1_3-4,MW2_60-120
PDB-CPX-100888,3,71.74,A1_3-4,MW2_60-120
PDB-CPX-100889,3,36.66,A1_3-4,MW1_<60
PDB-CPX-100923,5,96.2,A2_5-8,MW2_60-120
PDB-CPX-100942,4,38.04,A1_3-4,MW1_<60
PDB-CPX-100944,11,9.96,A3_9-20,MW1_<60
PDB-CPX-100945,12,10.34,A3_9-20,MW1_<60
PDB-CPX-100952,6,48.96,A2_5-8,MW1_<60
PDB-CPX-100981,4,54.88,A1_3-4,MW1_<60
PDB-CPX-101003,3,63.9,A1_3-4,MW2_60-120
PDB-CPX-101007,7,88.94,A2_5-8,MW2_60-120
PDB-CPX-101008,4,99.38,A1_3-4,MW2_60-120
PDB-CPX-101010,3,180.04,A1_3-4,MW3_120-300
PDB-CPX-101018,3,64.52,A1_3-4,MW2_60-120
PDB-CPX-101033,4,110.27,A1_3-4,MW2_60-120
PDB-CPX-101064,5,90.55,A2_5-8,MW2_60-120
PDB-CPX-101069,3,58.47,A1_3-4,MW1_<60
PDB-CPX-101096,4,5230.5,A1_3-4,MW4_>300
PDB-CPX-101110,3,177.19,A1_3-4,MW3_120-300
PDB-CPX-101114,4,25.09,A1_3-4,MW1_<60
PDB-CPX-101115,4,181.11,A1_3-4,MW3_120-300
PDB-CPX-101121,4,20.17,A1_3-4,MW1_<60
PDB-CPX-101122,4,19.4,A1_3-4,MW1_<60
PDB-CPX-101131,3,73.58,A1_3-4,MW2_60-120
PDB-CPX-101134,6,56.8,A2_5-8,MW1_<60
PDB-CPX-101142,3,77.89,A1_3-4,MW2_60-120
PDB-CPX-101145,22,59.08,A4_21-100,MW1_<60
PDB-CPX-101159,3,84.89,A1_3-4,MW2_60-120
PDB-CPX-101163,3,70.84,A1_3-4,MW2_60-120
PDB-CPX-101183,12,140.59,A3_9-20,MW3_120-300
PDB-CPX-101185,4,128.3,A1_3-4,MW3_120-300
PDB-CPX-101186,3,256.82,A1_3-4,MW3_120-300
PDB-CPX-101191,6,183.92,A2_5-8,MW3_120-300
PDB-CPX-101192,6,82.59,A2_5-8,MW2_60-120
PDB-CPX-101205,4,62.57,A1_3-4,MW2_60-120
PDB-CPX-101219,4,79.58,A1_3-4,MW2_60-120
PDB-CPX-101234,4,11.04,A1_3-4,MW1_<60
PDB-CPX-101237,3,1353.26,A1_3-4,MW4_>300
PDB-CPX-101241,3,5694.12,A1_3-4,MW4_>300
PDB-CPX-101250,8,241.51,A2_5-8,MW3_120-300
PDB-CPX-101251,3,69.96,A1_3-4,MW2_60-120
PDB-CPX-101254,4,69.86,A1_3-4,MW2_60-120
PDB-CPX-101256,3,62.27,A1_3-4,MW2_60-120
PDB-CPX-101261,3,123.37,A1_3-4,MW3_120-300
PDB-CPX-101264,3,630.71,A1_3-4,MW4_>300
PDB-CPX-101268,6,64.16,A2_5-8,MW2_60-120
PDB-CPX-101269,4,129.83,A1_3-4,MW3_120-300
PDB-CPX-101274,3,8469.76,A1_3-4,MW4_>300
PDB-CPX-101277,4,74.89,A1_3-4,MW2_60-120
PDB-CPX-101278,3,186.8,A1_3-4,MW3_120-300
PDB-CPX-101282,16,44.99,A3_9-20,MW1_<60
PDB-CPX-101297,3,46.75,A1_3-4,MW1_<60
PDB-CPX-101310,4,57.51,A1_3-4,MW1_<60
PDB-CPX-101313,3,5740.64,A1_3-4,MW4_>300
PDB-CPX-101316,3,8527.81,A1_3-4,MW4_>300
PDB-CPX-101320,4,40.47,A1_3-4,MW1_<60
PDB-CPX-101330,3,514.75,A1_3-4,MW4_>300
PDB-CPX-101337,4,111.5,A1_3-4,MW2_60-120
PDB-CPX-101340,5,49.41,A2_5-8,MW1_<60
PDB-CPX-101341,5,163.63,A2_5-8,MW3_120-300
PDB-CPX-101342,4,120.45,A1_3-4,MW3_120-300
PDB-CPX-101356,11,52.6,A3_9-20,MW1_<60
PDB-CPX-101364,3,30.46,A1_3-4,MW1_<60
PDB-CPX-101374,4,1284.0,A1_3-4,MW4_>300
PDB-CPX-101382,4,104.01,A1_3-4,MW2_60-120
PDB-CPX-101400,5,123.66,A2_5-8,MW3_120-300
PDB-CPX-101401,7,124.5,A2_5-8,MW3_120-300
PDB-CPX-101428,4,42.83,A1_3-4,MW1_<60
PDB-CPX-101429,12,64.78,A3_9-20,MW2_60-120
PDB-CPX-101442,3,91.39,A1_3-4,MW2_60-120
PDB-CPX-101470,3,19.46,A1_3-4,MW1_<60
PDB-CPX-101478,6,81.28,A2_5-8,MW2_60-120
PDB-CPX-101485,4,55.57,A1_3-4,MW1_<60
PDB-CPX-101489,7,27.36,A2_5-8,MW1_<60
PDB-CPX-101494,3,64.65,A1_3-4,MW2_60-120
PDB-CPX-101501,5,74.23,A2_5-8,MW2_60-120
PDB-CPX-101502,5,95.26,A2_5-8,MW2_60-120
PDB-CPX-101513,3,113.72,A1_3-4,MW2_60-120
PDB-CPX-101515,9,51.58,A3_9-20,MW1_<60
PDB-CPX-101519,3,95.07,A1_3-4,MW2_60-120
PDB-CPX-101525,6,96.17,A2_5-8,MW2_60-120
PDB-CPX-101529,6,340.14,A2_5-8,MW4_>300
PDB-CPX-101530,3,40.38,A1_3-4,MW1_<60
PDB-CPX-101545,9,148.84,A3_9-20,MW3_120-300
PDB-CPX-101594,3,58.37,A1_3-4,MW1_<60
PDB-CPX-101599,4,39.45,A1_3-4,MW1_<60
PDB-CPX-101603,4,93.39,A1_3-4,MW2_60-120
PDB-CPX-101605,8,104.69,A2_5-8,MW2_60-120
PDB-CPX-101621,3,33.46,A1_3-4,MW1_<60
PDB-CPX-101637,4,37.63,A1_3-4,MW1_<60
PDB-CPX-101640,5,92.64,A2_5-8,MW2_60-120
PDB-CPX-101643,4,23.25,A1_3-4,MW1_<60
PDB-CPX-101664,3,54.07,A1_3-4,MW1_<60
PDB-CPX-101670,6,151.79,A2_5-8,MW3_120-300
PDB-CPX-101672,6,173.3,A2_5-8,MW3_120-300
PDB-CPX-101697,8,115.06,A2_5-8,MW2_60-120
PDB-CPX-101698,8,231.34,A2_5-8,MW3_120-300
PDB-CPX-101700,5,106.68,A2_5-8,MW2_60-120
PDB-CPX-101707,5,143.73,A2_5-8,MW3_120-300
PDB-CPX-101710,6,120.72,A2_5-8,MW3_120-300
PDB-CPX-101718,3,63.27,A1_3-4,MW2_60-120
PDB-CPX-101725,3,28.85,A1_3-4,MW1_<60
PDB-CPX-101737,6,157.34,A2_5-8,MW3_120-300
PDB-CPX-101763,6,51.74,A2_5-8,MW1_<60
PDB-CPX-101768,4,105.01,A1_3-4,MW2_60-120
PDB-CPX-101770,3,123.55,A1_3-4,MW3_120-300
PDB-CPX-101771,4,50.51,A1_3-4,MW1_<60
PDB-CPX-101772,71,68.64,A4_21-100,MW2_60-120
PDB-CPX-101776,8,48.48,A2_5-8,MW1_<60
PDB-CPX-101782,3,18.08,A1_3-4,MW1_<60
PDB-CPX-101798,5,116.66,A2_5-8,MW2_60-120
PDB-CPX-101801,3,39.74,A1_3-4,MW1_<60
PDB-CPX-101808,3,162.01,A1_3-4,MW3_120-300
PDB-CPX-101831,3,66.05,A1_3-4,MW2_60-120
PDB-CPX-101835,3,222.0,A1_3-4,MW3_120-300
PDB-CPX-101841,5,71.33,A2_5-8,MW2_60-120
PDB-CPX-101846,12,62.94,A3_9-20,MW2_60-120
PDB-CPX-101850,3,211.32,A1_3-4,MW3_120-300
PDB-CPX-101853,3,89.78,A1_3-4,MW2_60-120
PDB-CPX-101857,8,59.63,A2_5-8,MW1_<60
PDB-CPX-101871,4,42.25,A1_3-4,MW1_<60
PDB-CPX-101877,3,88.04,A1_3-4,MW2_60-120
PDB-CPX-101883,6,42.83,A2_5-8,MW1_<60
PDB-CPX-101884,6,64.52,A2_5-8,MW2_60-120
PDB-CPX-101886,4,208.85,A1_3-4,MW3_120-300
PDB-CPX-101898,3,90.98,A1_3-4,MW2_60-120
PDB-CPX-101923,3,806.51,A1_3-4,MW4_>300
PDB-CPX-101926,3,282.51,A1_3-4,MW3_120-300
PDB-CPX-101933,4,62.66,A1_3-4,MW2_60-120
PDB-CPX-101936,3,59.96,A1_3-4,MW1_<60
PDB-CPX-101937,4,35.68,A1_3-4,MW1_<60
PDB-CPX-101944,8,137.47,A2_5-8,MW3_120-300
PDB-CPX-101946,5,86.02,A2_5-8,MW2_60-120
PDB-CPX-101950,9,179.44,A3_9-20,MW3_120-300
PDB-CPX-101951,4,109.49,A1_3-4,MW2_60-120
PDB-CPX-101952,10,218.19,A3_9-20,MW3_120-300
PDB-CPX-101954,3,82.81,A1_3-4,MW2_60-120
PDB-CPX-101970,4,146.06,A1_3-4,MW3_120-300
PDB-CPX-101977,4,98.06,A1_3-4,MW2_60-120
PDB-CPX-101984,5,51.8,A2_5-8,MW1_<60
PDB-CPX-101998,4,50.51,A1_3-4,MW1_<60
PDB-CPX-102010,18,121.08,A3_9-20,MW3_120-300
PDB-CPX-102016,3,52.43,A1_3-4,MW1_<60
PDB-CPX-102017,4,110.8,A1_3-4,MW2_60-120
PDB-CPX-102024,4,78.28,A1_3-4,MW2_60-120
PDB-CPX-102025,15,121.94,A3_9-20,MW3_120-300
PDB-CPX-102026,4,85.25,A1_3-4,MW2_60-120
PDB-CPX-102030,6,93.76,A2_5-8,MW2_60-120
PDB-CPX-102031,4,253.83,A1_3-4,MW3_120-300
PDB-CPX-102039,5,22.92,A2_5-8,MW1_<60
PDB-CPX-102050,7,525.55,A2_5-8,MW4_>300
PDB-CPX-102051,4,243.75,A1_3-4,MW3_120-300
PDB-CPX-102060,5,39.81,A2_5-8,MW1_<60
PDB-CPX-102064,6,105.38,A2_5-8,MW2_60-120
PDB-CPX-102068,3,42.88,A1_3-4,MW1_<60
PDB-CPX-102069,8,60.71,A2_5-8,MW2_60-120
PDB-CPX-102075,3,55.35,A1_3-4,MW1_<60
PDB-CPX-102077,5,61.89,A2_5-8,MW2_60-120
PDB-CPX-102081,3,53.01,A1_3-4,MW1_<60
PDB-CPX-102107,6,121.61,A2_5-8,MW3_120-300
PDB-CPX-102111,4,36.96,A1_3-4,MW1_<60
PDB-CPX-102116,4,66.91,A1_3-4,MW2_60-120
PDB-CPX-102123,14,169.8,A3_9-20,MW3_120-300
PDB-CPX-102129,5,77.8,A2_5-8,MW2_60-120
PDB-CPX-102131,5,33.19,A2_5-8,MW1_<60
PDB-CPX-102132,5,52.87,A2_5-8,MW1_<60
PDB-CPX-102138,8,104.57,A2_5-8,MW2_60-120
PDB-CPX-102144,4,77.46,A1_3-4,MW2_60-120
PDB-CPX-102147,4,115.09,A1_3-4,MW2_60-120
PDB-CPX-102155,8,70.99,A2_5-8,MW2_60-120
PDB-CPX-102164,4,101.39,A1_3-4,MW2_60-120
PDB-CPX-102166,4,66.5,A1_3-4,MW2_60-120
PDB-CPX-102168,3,82.39,A1_3-4,MW2_60-120
PDB-CPX-102180,6,85.66,A2_5-8,MW2_60-120
PDB-CPX-102194,6,38.0,A2_5-8,MW1_<60
PDB-CPX-102211,5,98.21,A2_5-8,MW2_60-120
PDB-CPX-102213,4,120.74,A1_3-4,MW3_120-300
PDB-CPX-102228,5,44.97,A2_5-8,MW1_<60
PDB-CPX-102239,3,28.68,A1_3-4,MW1_<60
PDB-CPX-102248,3,42.42,A1_3-4,MW1_<60
PDB-CPX-102260,18,35.58,A3_9-20,MW1_<60
PDB-CPX-102263,3,200.74,A1_3-4,MW3_120-300
PDB-CPX-102276,8,266.83,A2_5-8,MW3_120-300
PDB-CPX-102287,6,37.58,A2_5-8,MW1_<60
PDB-CPX-102303,3,90.51,A1_3-4,MW2_60-120
PDB-CPX-102307,14,76.72,A3_9-20,MW2_60-120
PDB-CPX-102314,5,96.79,A2_5-8,MW2_60-120
PDB-CPX-102321,4,104.4,A1_3-4,MW2_60-120
PDB-CPX-102330,4,61.7,A1_3-4,MW2_60-120
PDB-CPX-102332,8,129.36,A2_5-8,MW3_120-300
PDB-CPX-102333,5,156.4,A2_5-8,MW3_120-300
PDB-CPX-102349,5,85.43,A2_5-8,MW2_60-120
PDB-CPX-102351,3,176.56,A1_3-4,MW3_120-300
PDB-CPX-102355,4,168.51,A1_3-4,MW3_120-300
PDB-CPX-102359,16,174.68,A3_9-20,MW3_120-300
PDB-CPX-102369,6,67.59,A2_5-8,MW2_60-120
PDB-CPX-102392,4,57.3,A1_3-4,MW1_<60
PDB-CPX-102394,3,41.11,A1_3-4,MW1_<60
PDB-CPX-102405,3,83.4,A1_3-4,MW2_60-120
PDB-CPX-102410,6,74.82,A2_5-8,MW2_60-120
PDB-CPX-102411,3,5722.85,A1_3-4,MW4_>300
PDB-CPX-102412,4,38.52,A1_3-4,MW1_<60
PDB-CPX-102418,5,35.47,A2_5-8,MW1_<60
PDB-CPX-102455,3,38.58,A1_3-4,MW1_<60
PDB-CPX-102467,3,63.81,A1_3-4,MW2_60-120
PDB-CPX-102468,4,242.82,A1_3-4,MW3_120-300
PDB-CPX-102472,3,61.46,A1_3-4,MW2_60-120
PDB-CPX-102493,4,74.33,A1_3-4,MW2_60-120
PDB-CPX-102494,4,104.21,A1_3-4,MW2_60-120
PDB-CPX-102513,3,63.73,A1_3-4,MW2_60-120
PDB-CPX-102516,5,32.1,A2_5-8,MW1_<60
PDB-CPX-102519,3,115.35,A1_3-4,MW2_60-120
PDB-CPX-102530,4,75.47,A1_3-4,MW2_60-120
PDB-CPX-102543,24,54.81,A4_21-100,MW1_<60
PDB-CPX-102545,7,100.81,A2_5-8,MW2_60-120
PDB-CPX-102551,3,72.81,A1_3-4,MW2_60-120
PDB-CPX-102556,3,62.55,A1_3-4,MW2_60-120
PDB-CPX-102561,6,179.2,A2_5-8,MW3_120-300
PDB-CPX-102563,4,49.44,A1_3-4,MW1_<60
PDB-CPX-102578,3,50.51,A1_3-4,MW1_<60
PDB-CPX-102579,6,176.9,A2_5-8,MW3_120-300
PDB-CPX-102583,3,250.73,A1_3-4,MW3_120-300
PDB-CPX-102594,3,374.27,A1_3-4,MW4_>300
PDB-CPX-102595,18,359.14,A3_9-20,MW4_>300
PDB-CPX-102596,3,313.35,A1_3-4,MW4_>300
PDB-CPX-102605,50,104.93,A4_21-100,MW2_60-120
PDB-CPX-102607,4,104.27,A1_3-4,MW2_60-120
PDB-CPX-102637,4,60.75,A1_3-4,MW2_60-120
PDB-CPX-102638,4,208.5,A1_3-4,MW3_120-300
PDB-CPX-102656,4,35.02,A1_3-4,MW1_<60
PDB-CPX-102663,7,63.19,A2_5-8,MW2_60-120
PDB-CPX-102670,4,5707.95,A1_3-4,MW4_>300
PDB-CPX-102673,4,36.11,A1_3-4,MW1_<60
PDB-CPX-102688,3,88.06,A1_3-4,MW2_60-120
PDB-CPX-102690,5,112.31,A2_5-8,MW2_60-120
PDB-CPX-102694,6,495.51,A2_5-8,MW4_>300
PDB-CPX-102705,3,84.48,A1_3-4,MW2_60-120
PDB-CPX-102706,5,36.96,A2_5-8,MW1_<60
PDB-CPX-102711,9,212.47,A3_9-20,MW3_120-300
PDB-CPX-102716,6,188.18,A2_5-8,MW3_120-300
PDB-CPX-102724,4,30.96,A1_3-4,MW1_<60
PDB-CPX-102734,6,58.26,A2_5-8,MW1_<60
PDB-CPX-102738,4,51.97,A1_3-4,MW1_<60
PDB-CPX-102739,6,53.85,A2_5-8,MW1_<60
PDB-CPX-102756,5,671.63,A2_5-8,MW4_>300
PDB-CPX-102772,3,5646.19,A1_3-4,MW4_>300
PDB-CPX-102773,4,4722.54,A1_3-4,MW4_>300
PDB-CPX-102777,3,78.73,A1_3-4,MW2_60-120
PDB-CPX-102790,4,369.06,A1_3-4,MW4_>300
PDB-CPX-102795,4,43.82,A1_3-4,MW1_<60
PDB-CPX-102801,5,15981.91,A2_5-8,MW4_>300
PDB-CPX-102804,13,57.17,A3_9-20,MW1_<60
PDB-CPX-102808,3,416.14,A1_3-4,MW4_>300
PDB-CPX-102817,4,104.08,A1_3-4,MW2_60-120
PDB-CPX-102822,40,124.5,A4_21-100,MW3_120-300
PDB-CPX-102826,64,34.54,A4_21-100,MW1_<60
PDB-CPX-102833,3,99.81,A1_3-4,MW2_60-120
PDB-CPX-102838,4,99.48,A1_3-4,MW2_60-120
PDB-CPX-102840,5,69.96,A2_5-8,MW2_60-120
PDB-CPX-102842,4,77.41,A1_3-4,MW2_60-120
PDB-CPX-102843,6,94.51,A2_5-8,MW2_60-120
PDB-CPX-102847,3,86.34,A1_3-4,MW2_60-120
PDB-CPX-102903,4,215.98,A1_3-4,MW3_120-300
PDB-CPX-102905,3,62.69,A1_3-4,MW2_60-120
PDB-CPX-102907,25,96.08,A4_21-100,MW2_60-120
PDB-CPX-102910,4,68.78,A1_3-4,MW2_60-120
PDB-CPX-102913,8,50.73,A2_5-8,MW1_<60
PDB-CPX-102936,3,119.12,A1_3-4,MW2_60-120
PDB-CPX-102947,3,304.92,A1_3-4,MW4_>300
PDB-CPX-102959,4,219.34,A1_3-4,MW3_120-300
PDB-CPX-102965,4,50.09,A1_3-4,MW1_<60
PDB-CPX-102966,3,60.94,A1_3-4,MW2_60-120
PDB-CPX-102973,7,68.46,A2_5-8,MW2_60-120
PDB-CPX-102980,6,56.82,A2_5-8,MW1_<60
PDB-CPX-102982,3,281.01,A1_3-4,MW3_120-300
PDB-CPX-102991,12,83.8,A3_9-20,MW2_60-120
PDB-CPX-103003,7,44.83,A2_5-8,MW1_<60
PDB-CPX-103014,11,115.4,A3_9-20,MW2_60-120
PDB-CPX-103017,4,45.14,A1_3-4,MW1_<60
PDB-CPX-103026,4,141.15,A1_3-4,MW3_120-300
PDB-CPX-103028,4,42.26,A1_3-4,MW1_<60
PDB-CPX-103037,5,39.14,A2_5-8,MW1_<60
PDB-CPX-103039,3,223.21,A1_3-4,MW3_120-300
PDB-CPX-103040,3,221.69,A1_3-4,MW3_120-300
PDB-CPX-103041,4,18.19,A1_3-4,MW1_<60
PDB-CPX-103044,4,191.85,A1_3-4,MW3_120-300
PDB-CPX-103053,3,44.7,A1_3-4,MW1_<60
PDB-CPX-103054,3,44.71,A1_3-4,MW1_<60
PDB-CPX-103055,4,45.14,A1_3-4,MW1_<60
PDB-CPX-103060,3,29.47,A1_3-4,MW1_<60
PDB-CPX-103061,3,34.8,A1_3-4,MW1_<60
PDB-CPX-103062,6,31.2,A2_5-8,MW1_<60
PDB-CPX-103065,19,224.81,A3_9-20,MW3_120-300
PDB-CPX-103088,10,112.48,A3_9-20,MW2_60-120
PDB-CPX-103097,3,157.63,A1_3-4,MW3_120-300
PDB-CPX-103104,3,90.8,A1_3-4,MW2_60-120
PDB-CPX-103109,3,50.0,A1_3-4,MW1_<60
PDB-CPX-103111,3,65.35,A1_3-4,MW2_60-120
PDB-CPX-103112,3,90.38,A1_3-4,MW2_60-120
PDB-CPX-103114,4,67.89,A1_3-4,MW2_60-120
PDB-CPX-103118,7,177.54,A2_5-8,MW3_120-300
PDB-CPX-103133,5,81.9,A2_5-8,MW2_60-120
PDB-CPX-103146,6,158.85,A2_5-8,MW3_120-300
PDB-CPX-103148,4,32.16,A1_3-4,MW1_<60
PDB-CPX-103153,4,42.63,A1_3-4,MW1_<60
PDB-CPX-103155,4,44.95,A1_3-4,MW1_<60
PDB-CPX-103156,4,70.91,A1_3-4,MW2_60-120
PDB-CPX-103157,12,96.52,A3_9-20,MW2_60-120
PDB-CPX-103158,23,45.51,A4_21-100,MW1_<60
PDB-CPX-103163,5,95.11,A2_5-8,MW2_60-120
PDB-CPX-103165,4,45.49,A1_3-4,MW1_<60
PDB-CPX-103168,4,45.28,A1_3-4,MW1_<60
PDB-CPX-103169,4,44.91,A1_3-4,MW1_<60
PDB-CPX-103170,6,45.66,A2_5-8,MW1_<60
PDB-CPX-103173,3,92.59,A1_3-4,MW2_60-120
PDB-CPX-103177,4,34.58,A1_3-4,MW1_<60
PDB-CPX-103185,5,37.06,A2_5-8,MW1_<60
PDB-CPX-103190,8,27.84,A2_5-8,MW1_<60
PDB-CPX-103194,3,60.64,A1_3-4,MW2_60-120
PDB-CPX-103237,6,146.05,A2_5-8,MW3_120-300
PDB-CPX-103238,7,44.75,A2_5-8,MW1_<60
PDB-CPX-103239,4,31.34,A1_3-4,MW1_<60
PDB-CPX-103243,8,205.12,A2_5-8,MW3_120-300
PDB-CPX-103248,3,97.74,A1_3-4,MW2_60-120
PDB-CPX-103271,3,75.75,A1_3-4,MW2_60-120
